Date,Month,new date,Year,Price,Open,High,Low,Vol.,Change %
1/6/2026,1/6/1900,1-Jun-26,7/18/1905,"1,374.71","1,370.90","1,383.32","1,354.96",,0.21%
1/5/2026,1/5/1900,1-May-26,7/18/1905,"1,371.89","1,375.18","1,377.76","1,354.08",,-0.28%
1/4/2026,1/4/1900,1-Apr-26,7/18/1905,"1,375.74","1,385.54","1,388.52","1,337.50",,-0.77%
1/3/2026,1/3/1900,1-Mar-26,7/18/1905,"1,386.46","1,359.50","1,418.92","1,347.87",,1.80%
1/2/2026,1/2/1900,1-Feb-26,7/18/1905,"1,361.88","1,392.00","1,401.83","1,333.80",,-1.77%
1/1/2026,1/1/1900,1-Jan-26,7/18/1905,"1,386.46","1,444.58","1,448.75","1,375.65",,-4.02%
1/12/2025,1/12/1900,1-Dec-25,7/17/1905,"1,444.57","1,443.00","1,464.65","1,439.75",,-0.19%
1/11/2025,1/11/1900,1-Nov-25,7/17/1905,"1,447.34","1,446.81","1,459.84","1,425.10",,0.04%
1/10/2025,1/10/1900,1-Oct-25,7/17/1905,"1,446.81","1,483.24","1,503.75","1,429.15",,-2.45%
1/9/2025,1/9/1900,1-Sep-25,7/17/1905,"1,483.18","1,532.57","1,539.76","1,475.00",,-3.50%
1/8/2025,1/8/1900,1-Aug-25,7/17/1905,"1,536.95","1,530.89","1,539.63","1,509.00",,0.40%
1/7/2025,1/7/1900,1-Jul-25,7/17/1905,"1,530.90","1,545.00","1,545.00","1,522.55",,-0.36%
1/6/2025,1/6/1900,1-Jun-25,7/17/1905,"1,536.38","1,587.00","1,590.50","1,528.68",,-3.25%
1/5/2025,1/5/1900,1-May-25,7/17/1905,"1,587.95","1,602.07","1,613.90","1,579.54",,-0.90%
1/4/2025,1/4/1900,1-Apr-25,7/17/1905,"1,602.39","1,537.73","1,644.01","1,526.50",,4.20%
1/3/2025,1/3/1900,1-Mar-25,7/17/1905,"1,537.77","1,499.07","1,560.00","1,491.34",,2.31%
1/2/2025,1/2/1900,1-Feb-25,7/17/1905,"1,503.00","1,481.00","1,552.50","1,442.50",,1.49%
1/1/2025,1/1/1900,1-Jan-25,7/17/1905,"1,481.00","1,538.57","1,575.50","1,442.50",,-3.46%
1/12/2024,1/12/1900,1-Dec-24,7/16/1905,"1,534.00","1,682.89","1,707.50","1,485.00",,-8.19%
1/11/2024,1/11/1900,1-Nov-24,7/16/1905,"1,670.89","1,643.26","1,717.50","1,620.00",,3.25%
1/10/2024,1/10/1900,1-Oct-24,7/16/1905,"1,618.26","1,668.97","1,693.55","1,590.69",,-1.56%
1/9/2024,1/9/1900,1-Sep-24,7/16/1905,"1,643.97","1,598.64","1,685.00","1,497.50",,3.39%
1/8/2024,1/8/1900,1-Aug-24,7/16/1905,"1,590.00","1,620.00","1,620.00","1,480.00",,-4.22%
1/7/2024,1/7/1900,1-Jul-24,7/16/1905,"1,660.00","1,513.73","1,670.00","1,305.00",,8.85%
